"id","nLL","kernel","acq","R2","kError","lambda","beta","tau","epsilon"
787,647.183781873066,"RBF","GM",0.22192597278997,NA,1.14355167942771,NA,0.0938031532474797,NA
816,830.728466259853,"RBF","GM",0.00126013450134621,NA,3.60060608500323,NA,2.09919943674777,NA
839,827.198955742078,"RBF","GM",0.00550347393531248,NA,1.25042608647255,NA,0.401471814034007,NA
859,709.023642360789,"RBF","GM",0.14757925607755,NA,1.33882590563165,NA,0.112827876493242,NA
862,749.653491514151,"RBF","GM",0.0987321878395312,NA,1.39769758257779,NA,0.161320151505955,NA
888,585.65536350186,"RBF","GM",0.295898259504869,NA,1.18549188565338,NA,0.0756900005270502,NA
897,699.715230839385,"RBF","GM",0.158770255361285,NA,1.18384443361152,NA,0.117396204244947,NA
915,751.736530014723,"RBF","GM",0.0962278634105683,NA,1.25595068520401,NA,0.145590101829082,NA
923,810.078866207763,"RBF","GM",0.0260860308275884,NA,1.3026040516135,NA,0.245124931082361,NA
963,811.123477324173,"RBF","GM",0.0248301514298366,NA,1.28821792548537,NA,0.267136041242427,NA
976,745.403038492445,"RBF","GM",0.103842277419487,NA,1.40414097892245,NA,0.134593176819071,NA
983,814.750492013125,"RBF","GM",0.0204695880090178,NA,1.59069964753854,NA,0.322993799534245,NA
1102,723.914581220645,"RBF","UCB",0.129676686371471,NA,0.505138137124085,0.406043782126501,0.03161935660199,NA
111,761.203250854144,"RBF","UCB",0.0848465374034738,NA,1.41642446045457,0.0155299123852035,0.160162230683751,NA
115,807.250492672043,"RBF","UCB",0.0294864312223924,NA,0.833295341950245,48.1326252588941,18.1981811727454,NA
1154,561.218675855825,"RBF","UCB",0.325277166240442,NA,0.524745343551663,0.38812659504045,0.0206512955947494,NA
1155,642.025008057887,"RBF","UCB",0.228128087290158,NA,0.570106903066284,0.363451087393798,0.0333477721514071,NA
1164,791.43121559369,"RBF","UCB",0.0485050917152166,NA,0.382169888271705,0.541939254151098,0.0214739350940258,NA
117,521.222022909076,"RBF","UCB",0.373362976955802,NA,0.973147774895964,0.0702989920414935,0.0746392376923466,NA
1175,587.02194287526,"RBF","UCB",0.294255295100714,NA,0.478129291715943,0.387937384683484,0.021965842080049,NA
1176,786.650362550735,"RBF","UCB",0.0542528525287911,NA,0.635509661622533,0.766281534482551,0.170120945015338,NA
1194,774.160584045248,"RBF","UCB",0.0692686371218472,NA,0.562295697827466,0.358833983290633,0.057258620082738,NA
1196,643.056961652191,"RBF","UCB",0.22688742534605,NA,0.643697804888246,0.34401585831668,0.0412161103815542,NA
1214,635.658153322049,"RBF","UCB",0.235782612084703,NA,0.414288032625459,0.536396633753932,0.00673794732796621,NA
1215,737.428809184421,"RBF","UCB",0.113429261650818,NA,0.534288044491266,0.369253236439689,0.0378471222831442,NA
1224,758.538139832315,"RBF","UCB",0.0880506561156494,NA,0.358698263713422,0.754234957317446,0.00673818836299983,NA
1260,783.317939901447,"RBF","UCB",0.0582592438873527,NA,0.427853258061674,0.501562513256634,0.0287727916993376,NA
1266,751.782357499427,"RBF","UCB",0.0961727675064694,NA,0.643297370030615,50.0022876259047,2.26414612124276,NA
1288,645.081198327878,"RBF","UCB",0.22445379516805,NA,0.384178141616293,0.375679246130543,0.0306296664360454,NA
1300,532.347245393402,"RBF","UCB",0.359987724200032,NA,0.768756045351424,0.219380220263731,0.0478024497723422,NA
1312,771.045271088822,"RBF","UCB",0.0730140092493923,NA,1.05070520588066,51.3341501451618,9.58153529238562,NA
1319,697.543290632443,"RBF","UCB",0.161381461499338,NA,0.403854500876754,0.49514336707813,0.00673804303518069,NA
1325,622.194888755834,"RBF","UCB",0.251968766271248,NA,0.402091995796024,0.5539257744207,0.00673794844582576,NA
