"id","leaveoutindex","nLL","R2","kernel","acq","kError","lambda","beta","tau","epsilon","roundnLL"
393,9,608.493048017933,0.268441747674265,"BMT","GM",7.58606466456424,NA,NA,0.0183020724498729,NA,66.5038820051629
406,2,836.023742220382,-0.00510608913898181,"BMT","GM",20.250999093107,NA,NA,0.0118041148500521,NA,104.682878925572
406,3,836.023742220382,-0.00510608913898181,"BMT","GM",20.2341716483951,NA,NA,0.012775687837348,NA,104.469059701961
406,4,836.023742220382,-0.00510608913898181,"BMT","GM",54.5981499738523,NA,NA,54.5981500252002,NA,103.971921308938
406,5,836.023742220382,-0.00510608913898181,"BMT","GM",19.9835038627169,NA,NA,0.0113292123605309,NA,104.942255352458
406,6,836.023742220382,-0.00510608913898181,"BMT","GM",20.4007881380074,NA,NA,0.0134130408278353,NA,104.248469502459
406,7,836.023742220382,-0.00510608913898181,"BMT","GM",20.734959244205,NA,NA,0.0113085000405346,NA,104.661298647595
406,8,836.023742220382,-0.00510608913898181,"BMT","GM",20.7778956792642,NA,NA,0.0113528211421174,NA,104.454874807825
406,9,836.023742220382,-0.00510608913898181,"BMT","GM",20.5555749048288,NA,NA,0.0118492192423441,NA,104.592983973574
418,2,804.535588062983,0.0327504140690402,"BMT","GM",16.3958955408665,NA,NA,0.00673794699910608,NA,107.970100709732
418,3,804.535588062983,0.0327504140690402,"BMT","GM",16.9614702983248,NA,NA,0.00673794699919199,NA,104.564757646653
418,4,804.535588062983,0.0327504140690402,"BMT","GM",17.0569989575179,NA,NA,0.00673794699915541,NA,105.332921983102
418,5,804.535588062983,0.0327504140690402,"BMT","GM",16.8999317656319,NA,NA,0.00673794699946353,NA,105.931875981711
418,6,804.535588062983,0.0327504140690402,"BMT","GM",20.5106294231148,NA,NA,0.00673794700167951,NA,77.8876869940801
418,7,804.535588062983,0.0327504140690402,"BMT","GM",17.0151414986259,NA,NA,0.0067379469993343,NA,105.351653201513
418,8,804.535588062983,0.0327504140690402,"BMT","GM",17.139791733333,NA,NA,0.00673794700074132,NA,104.726820959851
418,9,804.535588062983,0.0327504140690402,"BMT","GM",19.2794472525661,NA,NA,0.00673794700180012,NA,92.7697705863411
427,2,671.314278098362,0.192915183424615,"BMT","GM",9.90497029196206,NA,NA,0.0126428298099929,NA,108.612931281842
427,3,671.314278098362,0.192915183424615,"BMT","GM",14.8562710441107,NA,NA,0.00673794699971425,NA,68.9072203925193
427,4,671.314278098362,0.192915183424615,"BMT","GM",13.3328981434238,NA,NA,0.00808488221906186,NA,97.2914656505659
427,5,671.314278098362,0.192915183424615,"BMT","GM",13.9705349968571,NA,NA,0.00673794699909988,NA,71.6546756339285
427,6,671.314278098362,0.192915183424615,"BMT","GM",12.5570897922808,NA,NA,0.00852879934336242,NA,105.981588462056
