"lambda","beta","tau","mu","replication"
1.44936145050558,0.405524740493985,0.00673794699908547,47.2303551496389,9
1.44936145050558,0.405524740493985,0.00673794699908547,47.0402700645502,10
0.204413870080183,0.725052883314922,0.00673794699908547,19.7431583534359,1
0.204413870080183,0.725052883314922,0.00673794699908547,15.0249529709819,2
0.204413870080183,0.725052883314922,0.00673794699908547,22.198267412581,3
0.204413870080183,0.725052883314922,0.00673794699908547,19.7825320318298,4
0.204413870080183,0.725052883314922,0.00673794699908547,23.9295130845507,5
0.204413870080183,0.725052883314922,0.00673794699908547,25.2737194015686,6
0.204413870080183,0.725052883314922,0.00673794699908547,18.0695859362089,7
0.204413870080183,0.725052883314922,0.00673794699908547,19.547370496462,8
0.204413870080183,0.725052883314922,0.00673794699908547,18.413177990186,9
0.204413870080183,0.725052883314922,0.00673794699908547,22.5687226066829,10
0.333562290169942,0.725052883314922,0.00673794699908547,21.3643413127436,1
0.333562290169942,0.725052883314922,0.00673794699908547,24.2054559388726,2
0.333562290169942,0.725052883314922,0.00673794699908547,19.1381121392743,3
0.333562290169942,0.725052883314922,0.00673794699908547,25.8922669968706,4
0.333562290169942,0.725052883314922,0.00673794699908547,20.2371756829309,5
0.333562290169942,0.725052883314922,0.00673794699908547,21.6151362718795,6
0.333562290169942,0.725052883314922,0.00673794699908547,21.3101027976228,7
0.333562290169942,0.725052883314922,0.00673794699908547,19.0813964354342,8
0.333562290169942,0.725052883314922,0.00673794699908547,27.3068128511456,9
0.333562290169942,0.725052883314922,0.00673794699908547,25.1185463638095,10
0.544306515892354,0.725052883314922,0.00673794699908547,26.3996324830365,1
0.544306515892354,0.725052883314922,0.00673794699908547,23.3242256485251,2
0.544306515892354,0.725052883314922,0.00673794699908547,26.2999918986534,3
0.544306515892354,0.725052883314922,0.00673794699908547,30.2084664736304,4
0.544306515892354,0.725052883314922,0.00673794699908547,31.7903997919603,5
0.544306515892354,0.725052883314922,0.00673794699908547,30.4410476741143,6
0.544306515892354,0.725052883314922,0.00673794699908547,21.6644293004007,7
0.544306515892354,0.725052883314922,0.00673794699908547,20.6397203294669,8
0.544306515892354,0.725052883314922,0.00673794699908547,29.8752565824455,9
0.544306515892354,0.725052883314922,0.00673794699908547,20.7198440939588,10
0.88819867225378,0.725052883314922,0.00673794699908547,28.2468256243136,1
0.88819867225378,0.725052883314922,0.00673794699908547,28.2708564982253,2
0.88819867225378,0.725052883314922,0.00673794699908547,28.5647195042086,3
0.88819867225378,0.725052883314922,0.00673794699908547,22.0713989965582,4
0.88819867225378,0.725052883314922,0.00673794699908547,29.4000594467194,5
0.88819867225378,0.725052883314922,0.00673794699908547,29.464990637497,6
